#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163520.746;20180524-163522.000;33.647084;-117.842162;3;303.6;278.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163521.251;20180524-163522.000;33.647084;-117.842162;3;303.6;317.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163521.749;20180524-163523.000;33.647084;-117.842162;3;304;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163522.250;20180524-163523.000;33.647084;-117.842162;3;304;331.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163522.749;20180524-163524.000;33.647084;-117.842162;3;303.9;322.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163523.252;20180524-163524.000;33.647084;-117.842162;3;303.9;316.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163523.753;20180524-163525.000;33.647084;-117.842162;3;301.5;336.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163524.255;20180524-163525.000;33.647084;-117.842162;3;301.5;322.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163524.736;20180524-163526.000;33.647084;-117.842162;3;297.4;305.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163525.239;20180524-163526.000;33.647084;-117.842162;3;297.4;311.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163525.741;20180524-163527.000;33.647084;-117.842162;3;291.3;322.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163526.255;20180524-163527.000;33.647084;-117.842162;3;291.3;322.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163526.755;20180524-163528.000;33.647084;-117.842162;3;282.8;341.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163527.260;20180524-163528.000;33.647084;-117.842162;3;282.8;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163527.740;20180524-163529.000;33.647084;-117.842162;3;280.2;306.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163528.246;20180524-163529.000;33.647084;-117.842162;3;280.2;312;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163528.744;20180524-163530.000;33.647084;-117.842162;3;278;320.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163529.246;20180524-163530.000;33.647084;-117.842162;3;278;298.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163529.744;20180524-163531.000;33.647084;-117.842162;3;277.1;313.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163530.249;20180524-163531.000;33.647084;-117.842162;3;277.1;296.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163530.744;20180524-163532.000;33.647084;-117.842162;3;282.6;317.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
